Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:00:01.157	00:00:07.510	00:00:06.353		Вот на неделе …(0.9) э(0.5) решили заняться ремонтом …(0.6) дома. …(2.0)
00:00:07.510	00:00:09.314	00:00:01.804		Ну-у все же помощники |S|
00:00:09.314	00:00:12.000	00:00:02.686		Инициатором конечно же была жена, …(0.8)
00:00:12.000	00:00:14.392	00:00:02.392		Никита вызвался помогать всем, …(0.4)
00:00:14.392	00:00:15.667	00:00:01.275		но а самое основное,
00:00:15.667	00:00:17.588	00:00:01.921		самое тяжёлое конечно мне. …(0.1)
00:00:17.588	00:00:19.314	00:00:01.726		Отодрать двери, …(0.7)
00:00:19.314	00:00:24.118	00:00:04.804		раз= || то есть разобрать …(0.8) || разнести квартиру …(0.4) в клочья, …(0.5)
00:00:24.118	00:00:27.431	00:00:03.313		грубо говоря. …(2.8)
00:00:27.431	00:00:29.157	00:00:01.726		Во-от. …(1.2)
00:00:29.157	00:00:29.490	00:00:00.333		Значит,
00:00:29.490	00:00:31.078	00:00:01.588		ну дома были все.
00:00:31.078	00:00:31.549	00:00:00.471		Значит,
00:00:31.549	00:00:34.000	00:00:02.451		потихонечку начал это всё дело разбирать.
00:00:34.000	00:00:34.314	00:00:00.314		Думал,
00:00:34.314	00:00:36.157	00:00:01.843		как это всё дело будет получаться.
00:00:36.157	00:00:36.608	00:00:00.451		Шумно,
00:00:36.608	00:00:37.608	00:00:01.000		не шумно,
00:00:37.608	00:00:37.922	00:00:00.314		пыльно,
00:00:37.922	00:00:40.235	00:00:02.313		не пыльно. ...(1.1)
00:00:40.235	00:00:42.020	00:00:01.785		{ВЗДОХ} Все конечно поддерживали,
00:00:42.020	00:00:44.275	00:00:02.255		вениками махали. …(1.2)
00:00:44.275	00:00:46.961	00:00:02.686		Ну всё вроде получилось хорошо: …(2.0)
00:00:46.961	00:00:51.510	00:00:04.549		всё …(0.6) ровно оторвалось,
00:00:51.510	00:00:52.902	00:00:01.392		без шума,
00:00:52.902	00:00:55.647	00:00:02.745		без пыли …(0.1) без особой. …(0.7)
00:00:55.647	00:00:59.588	00:00:03.941		Ну и-и как бы …(0.5) всех удовлетворила моя работа,
00:00:59.588	00:01:02.882	00:00:03.294		грубо говоря, …(3.0)
00:01:02.882	00:01:05.137	00:00:02.255		шо пошли какие-то изменения: …(0.5)
00:01:05.137	00:01:07.529	00:00:02.392		в квартире стало посвободнее как-то, …(0.5)
00:01:07.529	00:01:09.196	00:00:01.667		посветлее,
00:01:09.196	00:01:11.255	00:00:02.059		поприятнее. …(1.3)
00:01:11.255	00:01:12.490	00:00:01.235		Да? …(0.7)
00:01:12.490	00:01:14.275	00:00:01.785		Щас надо закончить это всё дело. …(0.1)
00:01:14.275	00:01:14.686	00:00:00.411		Вот.
00:01:14.745	00:01:16.255	00:00:01.510	Угу. …(1.0)	
00:01:16.255	00:01:18.216	00:00:01.961	А(1.0) это одна комната?	
00:01:18.216	00:01:19.745	00:00:01.529	То есть вы одну комнату разбирали или это несколько?	
00:01:19.725	00:01:22.490	00:00:02.765		Ну эт= {НРЗБ} можно сказать одна комната,
00:01:22.490	00:01:24.196	00:00:01.706		но-о три двери.
00:01:24.196	00:01:24.725	00:00:00.529	Ага-а.	
00:01:24.725	00:01:25.824	00:00:01.099		То есть они все в одной комнате,
00:01:25.824	00:01:26.373	00:00:00.549		грубо говоря,
00:01:26.392	00:01:26.961	00:00:00.569		находятся.
00:01:26.961	00:01:27.392	00:00:00.431	Угу-у.	
00:01:27.647	00:01:28.275	00:00:00.628	Так,	
00:01:28.275	00:01:29.529	00:00:01.254	еще хотела спросить,	
00:01:29.529	00:01:31.059	00:00:01.530	э(0.2) вы это за один день сделали?	
00:01:31.078	00:01:31.608	00:00:00.530		Да!
00:01:31.588	00:01:31.882	00:00:00.294	А,	
00:01:31.882	00:01:32.784	00:00:00.902	А, за один день.	
00:01:32.784	00:01:33.275	00:00:00.491	Угу. …(1.3)	
00:01:33.275	00:01:34.392	00:00:01.117	А(0.7) ..	
00:01:34.392	00:01:35.686	00:00:01.294		До обеда.
00:01:35.627	00:01:36.490	00:00:00.863	Два обеда?	
00:01:36.451	00:01:37.157	00:00:00.706		До обеда {СМЕХ}.
00:01:37.137	00:01:37.373	00:00:00.236	А,	
00:01:37.373	00:01:38.431	00:00:01.058	до обеда {СМЕХ}.	
00:01:39.373	00:01:39.922	00:00:00.549	Ага-а.	
00:01:39.922	00:01:40.333	00:00:00.411	Так, 	
00:01:40.333	00:01:41.667	00:00:01.334	какой вопрос ещё можно задать.	
00:01:41.667	00:01:42.000	00:00:00.333	А,	
00:01:42.000	00:01:42.529	00:00:00.529	в какой день |ES|	
00:01:42.529	00:01:44.098	00:00:01.569	В какой день недели это было?	
00:01:44.333	00:01:47.255	00:00:02.922		Какой день недели был? …(2.3)
00:01:47.373	00:01:48.373	00:00:01.000		Вторник!
00:01:48.333	00:01:48.941	00:00:00.608	Вторник.	
00:01:48.941	00:01:49.392	00:00:00.451	Угу.	
00:01:49.392	00:01:49.824	00:00:00.432	Всё.	
00:01:49.824	00:01:50.863	00:00:01.039	Спасибо большое.	

