Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:00:00.790	00:00:01.100	00:00:00.310	Угу.	
00:00:01.350	00:00:03.060	00:00:01.710		Однажды мы поехали на Тургояк |E|
00:00:03.060	00:00:03.340	00:00:00.280		погулять |E|
00:00:03.340	00:00:06.080	00:00:02.740		подышать свежим воздухом. …(1.0)
00:00:06.080	00:00:07.240	00:00:01.160		И {когда} мы приехали с Никитой,
00:00:07.240	00:00:08.240	00:00:01.000		мы вышли на улицу, …(0.2)
00:00:08.240	00:00:09.880	00:00:01.640		п-пошли на лёд, …(0.5)
00:00:09.880	00:00:10.650	00:00:00.770		и увидели, 
00:00:10.650	00:00:14.490	00:00:03.840		как приближается какая-то машина …(0.4) непонятная. …(1.2)
00:00:14.490	00:00:17.320	00:00:02.830		И к нам пошли двое людей, …(1.1)
00:00:17.320	00:00:19.940	00:00:02.620		в зелёном. …(1.6)
00:00:19.940	00:00:22.560	00:00:02.620		Мы с Никитой напугались, …(1.1)
00:00:22.560	00:00:23.110	00:00:00.550		подумали: 
00:00:23.110	00:00:23.940	00:00:00.830		что это такое?
00:00:23.940	00:00:28.830	00:00:04.890		А это оказывается природоохранная …(1.5) контора была. …(0.5)
00:00:28.830	00:00:32.340	00:00:03.510		И нас …(0.6) о-оштрафовали.
00:00:32.340	00:00:32.670	00:00:00.330	У-угу.	
00:00:32.980	00:00:34.590	00:00:01.610	А(0.4) на какую сумму вас оштрафовали?	
00:00:34.580	00:00:35.130	00:00:00.550		Не знаю,
00:00:35.130	00:00:37.030	00:00:01.900		еще пока не приходила …(0.4) квитанция.
00:00:37.460	00:00:39.340	00:00:01.880		Ну тыщи на три наверное точно.
00:00:39.320	00:00:39.680	00:00:00.360	Ага.	
00:00:39.680	00:00:41.090	00:00:01.410	А чт= что вы делали? {СМЕХ}	
00:00:41.080	00:00:42.316	00:00:01.236		Да ниче мы не делали.
00:00:42.316	00:00:47.829	00:00:05.513		Мы просто заехали э(0.6) в водозаборную территорию на машине.
00:00:46.421	00:00:46.908	00:00:00.487	А-а.	
00:00:47.092	00:00:47.961	00:00:00.869	Понятно.	
00:00:47.987	00:00:49.605	00:00:01.618		В= водозаборная зона,
00:00:49.605	00:00:50.947	00:00:01.342		она правильно так называется.
00:00:50.921	00:00:51.329	00:00:00.408	Ага.	
00:00:51.329	00:00:52.368	00:00:01.039	А это был день?,	
00:00:52.368	00:00:53.355	00:00:00.987	или это был вечер?	
00:00:53.355	00:00:54.684	00:00:01.329		Это уже был вечер,
00:00:54.684	00:00:56.697	00:00:02.013		где-то часов наверное около четырех,
00:00:56.697	00:00:57.013	00:00:00.316		да,
00:00:57.013	00:00:58.908	00:00:01.895		наверное …(0.4) пяти || пяти,
00:00:58.908	00:00:59.237	00:00:00.329		да?
00:00:59.987	00:01:02.053	00:00:02.066	Это было э(0.2) в этом месяце?	
00:01:02.053	00:01:02.961	00:00:00.908	Или это |ES|	
00:01:02.934	00:01:03.763	00:00:00.829		Это было-о |ES|
00:01:03.237	00:01:03.697	00:00:00.460	Получается|ES|	
00:01:03.763	00:01:05.474	00:00:01.711		Это было пару месяцев назад.
00:01:05.487	00:01:05.882	00:00:00.395	Угу.	
00:01:05.882	00:01:06.421	00:00:00.539	Угу.	
00:01:06.526	00:01:07.053	00:00:00.527	Понят=	
00:01:07.053	00:01:08.882	00:00:01.829		Где-то примерно месяца полтора.
00:01:08.908	00:01:09.132	00:00:00.224	Ну да.	
00:01:09.132	00:01:10.105	00:00:00.973	Было холодно тогда? …(0.7)	
00:01:10.579	00:01:11.421	00:00:00.842		Да-а ну нет,
00:01:11.421	00:01:12.329	00:00:00.908		не шибко холодно,
00:01:12.329	00:01:13.592	00:00:01.263		но снег уже был.
00:01:13.579	00:01:14.026	00:00:00.447	Угу.	
00:01:14.474	00:01:15.671	00:00:01.197		Было как бы п-прохладно,
00:01:15.671	00:01:17.171	00:00:01.500		такая зима была нормальная |ES|
00:01:17.447	00:01:18.039	00:00:00.592	Ага.	
00:01:17.895	00:01:18.447	00:00:00.552		Ну.. …(1.0)
00:01:18.987	00:01:19.368	00:00:00.381	Всё.	
00:01:19.368	00:01:19.671	00:00:00.303	Хорошо.	
00:01:19.671	00:01:20.289	00:00:00.618	Спасибо.	

