Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:00:01.530	00:00:02.760	00:00:01.230		Раз раз поехали!
00:00:04.100	00:00:04.470	00:00:00.370	Так.	
00:00:04.490	00:00:05.500	00:00:01.010	Ну-у тогда готов?	
00:00:05.620	00:00:06.070	00:00:00.450		А(0.2) да.
00:00:06.090	00:00:07.350	00:00:01.260		Мне здороваться опять со всеми?
00:00:07.370	00:00:08.710	00:00:01.340	Ну-у как хочешь.	
00:00:10.020	00:00:11.130	00:00:01.110		А(0.2) всем привет,
00:00:11.530	00:00:12.220	00:00:00.690		хаю-хай ...(1.0)
00:00:13.590	00:00:13.880	00:00:00.290		{СМЕЁТСЯ}
00:00:14.350	00:00:16.200	00:00:01.850		Сегодня я вам рясскажу про событие, 
00:00:16.220	00:00:18.650	00:00:02.430		которое произошло со мной буквально на прошлой неделе,
00:00:18.760	00:00:19.530	00:00:00.770		{ВЗДОХ}
00:00:19.540	00:00:21.680	00:00:02.140		а(0.1) расскажу вам какие эмоции это у меня вызвало,
00:00:21.810	00:00:24.120	00:00:02.310		вообще что это было за само по себе за событие,
00:00:24.480	00:00:25.440	00:00:00.960		{ВЗДОХ}
00:00:25.460	00:00:26.500	00:00:01.040		cлушайте и наслаждайтесь...(0.5)
00:00:26.990	00:00:29.310	00:00:02.320		А ...(0.3) я работаю |ES|
00:00:29.320	00:00:30.580	00:00:01.260		Вообще начнём с начала,
00:00:30.620	00:00:31.690	00:00:01.070		я студент,
00:00:31.720	00:00:33.070	00:00:01.350		но-о все вы знаете, |E| 
00:00:33.080	00:00:35.900	00:00:02.820		что у студентов обыно не водится много денег в карманах, |E|
00:00:35.900	00:00:37.750	00:00:01.850		поэтому приходится искать подработку.
00:00:38.120	00:00:39.710	00:00:01.590		Я работаю водителем в такси,
00:00:39.730	00:00:43.810	00:00:04.080		и-и ...(0.3) такси это не только дневная жизнь |E|
00:00:43.830	00:00:46.790	00:00:02.960		а(0.3) пробки и так далее езда по городу, 
00:00:46.810	00:00:48.320	00:00:01.510		но есть ещё ночные смены,
00:00:48.350	00:00:51.320	00:00:02.970		и обратная сторона медали этой работы |S|
00:00:51.350	00:00:55.230	00:00:03.880		Просто расскажу вам про один случай из-з …(0.3) большинства.
00:00:55.410	00:00:57.390	00:00:01.980		А(0.2) где и когда это с вами произошло?
00:00:58.160	00:01:01.000	00:00:02.840		Произошло это со мной а в районе Чурилово,
00:01:01.030	00:01:01.850	00:00:00.820		города Челябинска. …(0.3)
00:01:01.900	00:01:05.290	00:00:03.390		А(0.2) я забирал двух пассажиров,
00:01:05.430	00:01:06.890	00:00:01.460		довёз их до крайней точки.
00:01:06.920	00:01:09.580	00:00:02.660		Показались они мне крайне доброжелательными изначально, ...(0.7)
00:01:09.580	00:01:12.140	00:00:02.560		а(0.3), мы даже с ними договорились |E|
00:01:12.140	00:01:14.030	00:00:01.890		а(0.2) за полную стоимость поездки |E|
00:01:14.040	00:01:15.440	00:00:01.400		чтобы я их обратно отвёз |S|
00:01:15.470	00:01:17.090	00:00:01.620		Ну то есть |E| ...(1.0)
00:01:17.130	00:01:17.970	00:00:00.840		хорошие пассажиры,
00:01:18.000	00:01:19.010	00:00:01.010		парень с девушкой,
00:01:19.020	00:01:21.230	00:00:02.210		никаких подозрений не вызывают |ES|
00:01:21.250	00:01:23.970	00:00:02.720		Но это еще не конец.
00:01:24.100	00:01:27.380	00:00:03.280		А(0.2) был я один ...(0.3) как водитель,
00:01:27.400	00:01:28.400	00:00:01.000		 то есть никт= |E|
00:01:28.410	00:01:30.390	00:00:01.980		к сожалению никого с собой возить я не могу,
00:01:30.410	00:01:31.520	00:00:01.110		так как такая эта работа
00:01:31.520	00:01:32.620	00:00:01.100		{СМЕЁТСЯ}
00:01:32.640	00:01:35.770	00:00:03.130		немного ...(0.3) в одиночестве проходит постоянно |S|
00:01:36.220	00:01:39.250	00:00:03.030		А(0.5) …(0.9) расскажу про ситуацию дальше.
00:01:39.280	00:01:43.900	00:00:04.620		А(0.4) по приезду на точку а(0.4) высадки пассажиров |E|
00:01:44.200	00:01:46.330	00:00:02.130		 они начали вдвоем выходить, ...(0,4) 
00:01:46.370	00:01:49.020	00:00:02.650		что для-я водителя такси |E|
00:01:49.100	00:01:50.360	00:00:01.260		(Eсли кто-то может знает,
00:01:50.380	00:01:51.410	00:00:01.030		у кого-то есть опыт),
00:01:51.420	00:01:52.920	00:00:01.500		непозволительная роскошь |E|
00:01:52.930	00:01:57.600	00:00:04.670		чтобы клиенты выходили либо не оставив ничего ...(0.3) драгоценного в машине |E|
00:01:57.610	00:01:59.910	00:00:02.300		(Что является гарантом их возвращения),
00:01:59.950	00:02:01.510	00:00:01.560		ну либо оплату стоимости поездки,
00:02:01.530	00:02:03.220	00:00:01.690		то есть а(0.1) всё просто.
00:02:03.240	00:02:06.060	00:00:02.820		А(0.2) попросил я их конечно что-то оставить. ...(1.0)
00:02:06.102	00:02:11.341	00:00:05.239		После долгих а(0.2) разбирательств и поиска ...(0.7) какой-либо вещи ценной, ...(0.6)
00:02:11.420	00:02:13.630	00:00:02.210		мы ...(0.7) сошлись на том |E|
00:02:13.650	00:02:15.230	00:00:01.580		что они оставляют пауэрбанк. ...(0.6)
00:02:15.280	00:02:16.780	00:00:01.500		Ну принципе ничего такого,
00:02:16.810	00:02:17.990	00:00:01.180		вещь не такая дорогая,
00:02:18.020	00:02:20.410	00:00:02.390		но ...(0.4) достаточно ...(0.9) |E|
00:02:20.440	00:02:21.730	00:00:01.290		можно сказать,
00:02:21.742	00:02:25.989	00:00:04.247		подходящая ...(0.4) для того чтобы ...(0.5) выпустить людей из машины,
00:02:26.000	00:02:28.260	00:00:02.260		и быть спокойным. ...(1.0)
00:02:28.270	00:02:29.230	00:00:00.960		В принципе, ...(0.9)
00:02:29.250	00:02:30.680	00:00:01.430		что и требовалось доказать,
00:02:30.700	00:02:32.430	00:00:01.730		через п= пятнадцать минут,
00:02:32.430	00:02:34.130	00:00:01.700		никто не пришел.
00:02:34.180	00:02:38.330	00:00:04.150		Эмоции у меня это вызвало ...(0.4) просто ...(0.2) крайне отрицательные,
00:02:38.370	00:02:41.660	00:00:03.290		отвращение к людям у меня появилось {СМЕЁТСЯ}  сразу же |E|
00:02:41.690	00:02:42.710	00:00:01.020		Им= конкретно к этим,
00:02:42.720	00:02:43.280	00:00:00.560		не ко всем,
00:02:43.280	00:02:44.110	00:00:00.830		так что не думайте).
00:02:44.150	00:02:45.010	00:00:00.860		{ВЗДОХ}
00:02:45.020	00:02:47.530	00:00:02.510		Ну в принципе ...(0.3) и опыт это мне дало,
00:02:47.540	00:02:48.950	00:00:01.410		то есть я уже знаю,
